shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates
4,A1_lambda_0.50 - A1_L,relaxation_vs_L,image_auroc,A1_lambda_0.50,A1_L,-0.00018900545108568867,-7.873007097039086e-06,-0.008080101416571502,0.00780064452512198,0.476,1000
4,A1_lambda_0.75 - A1_L,relaxation_vs_L,image_auroc,A1_lambda_0.75,A1_L,-0.00022345986434924026,-6.475774639815512e-05,-0.010111760459270352,0.009926139934512716,0.506,1000
4,B - A1_J,single_branch_vs_A1_J,image_ap,B,A1_J,-0.03620047555289441,-0.03520044768216373,-0.06432808572180022,-0.004864472800570483,0.99,1000
4,C - A1_J,single_branch_vs_A1_J,image_ap,C,A1_J,-0.04529534394880508,-0.043891831734975635,-0.09488834947601654,0.004624689806700437,0.951,1000
4,DUP_J - A1_J,weight_control,image_ap,DUP_J,A1_J,-0.01013064103774497,-0.011047119723067078,-0.027778336047664453,0.00580790409665382,0.897,1000
4,DUP_BAL_J - A1_J,weight_control_equivalence,image_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000
4,DUP_EXPECTED_J - A1_J,weight_control_equivalence,image_ap,DUP_EXPECTED_J,A1_J,-0.01013064103774497,-0.011047119723067078,-0.027778336047664453,0.00580790409665382,0.897,1000
4,A1_L - A1_J,relaxation,image_ap,A1_L,A1_J,0.01172759560664094,0.009414504042258685,-0.01214141018847827,0.030689040235726536,0.189,1000
4,A1_lambda_0.25 - A1_J,relaxation_ladder,image_ap,A1_lambda_0.25,A1_J,0.009205541478958579,0.007231909383683206,-0.009960538083430157,0.025292578113126626,0.2,1000
4,A1_lambda_0.50 - A1_J,relaxation_ladder,image_ap,A1_lambda_0.50,A1_J,0.0051555749820527685,0.004111571475662622,-0.008375741400280435,0.017527140784787513,0.257,1000
4,A1_lambda_0.75 - A1_J,relaxation_ladder,image_ap,A1_lambda_0.75,A1_J,0.0030692320598015854,0.0021490369312730006,-0.009276048238260231,0.014365545012772643,0.335,1000
4,A1_lambda_0.25 - A1_L,relaxation_vs_L,image_ap,A1_lambda_0.25,A1_L,-0.0025220541276823605,-0.002182594658575478,-0.012146301639919765,0.005281886003809744,0.685,1000
4,A1_lambda_0.50 - A1_L,relaxation_vs_L,image_ap,A1_lambda_0.50,A1_L,-0.006572020624588171,-0.0053029325665960615,-0.019717957581815472,0.007616746486226827,0.761,1000
4,A1_lambda_0.75 - A1_L,relaxation_vs_L,image_ap,A1_lambda_0.75,A1_L,-0.008658363546839354,-0.007265467110985683,-0.024139365839280613,0.007593972833932456,0.817,1000
