dataset,reference_seed,shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates,multiple_comparison_adjusted
btad,1,2,A1_L - DUP_L,weight,image_auroc,A1_L,DUP_L,0.0009166666666666767,0.0008248980615721644,-0.004302171389877435,0.006393219927937875,0.375,1000,False
btad,1,2,A1_L - A1_J,matching,image_auroc,A1_L,A1_J,0.002041059280855184,0.002190392530436479,-0.01002759718825109,0.015627120325098644,0.369,1000,False
btad,1,2,DUP_L - DUP_J,matching,image_auroc,DUP_L,DUP_J,0.007956511175898906,0.008195217568407997,-0.001850245634297151,0.019881592950769224,0.049,1000,False
btad,1,2,DUP_BAL_J - A1_J,equivalence_control,image_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_BAL_L - A1_L,equivalence_control,image_auroc,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_EXPECTED_J - DUP_J,equivalence_control,image_auroc,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_J - A1_J,weight,image_ap,DUP_J,A1_J,-0.0015207823056513359,-0.0015532755521193888,-0.004284804299071218,0.0008284599350109434,0.914,1000,False
btad,1,2,A1_L - DUP_L,weight,image_ap,A1_L,DUP_L,0.0001524858166301879,0.00013294355209081732,-0.0011142192126566337,0.001514813191128422,0.406,1000,False
btad,1,2,A1_L - A1_J,matching,image_ap,A1_L,A1_J,0.00022035285476507127,0.000247042492743886,-0.0027972301413604988,0.0034030848146493456,0.453,1000,False
btad,1,2,DUP_L - DUP_J,matching,image_ap,DUP_L,DUP_J,0.0015886493437862192,0.0016673744927724577,-0.000560137686730669,0.004732342368852579,0.074,1000,False
btad,1,2,DUP_BAL_J - A1_J,equivalence_control,image_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_BAL_L - A1_L,equivalence_control,image_ap,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_EXPECTED_J - DUP_J,equivalence_control,image_ap,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_J - A1_J,weight,pixel_auroc,DUP_J,A1_J,-0.001306448177334607,-0.0012976881652978927,-0.0017636022255931305,-0.0008772854049872826,1.0,1000,False
btad,1,4,A1_L - DUP_L,weight,pixel_auroc,A1_L,DUP_L,0.00141588330108533,0.001412218585335804,0.0009763015022024368,0.001885927081749991,0.0,1000,False
btad,1,4,A1_L - A1_J,matching,pixel_auroc,A1_L,A1_J,0.0007382376250204548,0.0007528758839648596,0.0005439538424710039,0.0009833212762284022,0.0,1000,False
btad,1,4,DUP_L - DUP_J,matching,pixel_auroc,DUP_L,DUP_J,0.0006288025012697318,0.0006383454639269482,0.00046088082020771803,0.000819338831235225,0.0,1000,False
btad,1,4,DUP_BAL_J - A1_J,equivalence_control,pixel_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_BAL_L - A1_L,equivalence_control,pixel_auroc,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
