dataset,category,seed,shot,revision,method,pixel_ap,pixel_auroc,is_new_method
mpdd,metal_plate,1,4,study,BAL_E_J,0.9065609832460015,0.9863160817498252,True
mpdd,metal_plate,1,4,study,BAL_E_L,0.9085168806746257,0.9879707649830396,True
mpdd,tubes,0,1,study,E,0.45233757035978794,0.9785320500341879,True
mpdd,tubes,0,1,study,A1_J,0.7281609800383229,0.9862483408122424,False
mpdd,tubes,0,1,study,A1_L,0.7360580570118972,0.9883807148217669,False
mpdd,tubes,0,1,study,DUP_J,0.7166370277917077,0.9852869931889188,False
mpdd,tubes,0,1,study,DUP_L,0.7195812058916544,0.9865460201052647,False
mpdd,tubes,0,1,study,TRI_E_J,0.7548678990474974,0.9900498243194129,True
mpdd,tubes,0,1,study,TRI_E_L,0.7566625871429353,0.9906110083308445,True
mpdd,tubes,0,1,study,BAL_E_J,0.7534576359040098,0.9897537378491008,True
mpdd,tubes,0,1,study,BAL_E_L,0.7652392916572841,0.991561989368946,True
mpdd,tubes,0,4,study,E,0.5151676520203612,0.9829238014980378,True
mpdd,tubes,0,4,study,A1_J,0.7550403006343035,0.9903581558836787,False
mpdd,tubes,0,4,study,A1_L,0.7607109979053936,0.9919332728331612,False
mpdd,tubes,0,4,study,DUP_J,0.7440801682675099,0.989419659447855,False
mpdd,tubes,0,4,study,DUP_L,0.7468631495648136,0.9904394544906694,False
mpdd,tubes,0,4,study,TRI_E_J,0.7805868490545376,0.9930701147935075,True
mpdd,tubes,0,4,study,TRI_E_L,0.7811383824819046,0.9935826244333327,True
mpdd,tubes,0,4,study,BAL_E_J,0.7789339140875293,0.9930470505728968,True
mpdd,tubes,0,4,study,BAL_E_L,0.7864543002394635,0.994188971464258,True
mpdd,tubes,1,1,study,E,0.42525782578336635,0.9796852308952906,True
mpdd,tubes,1,1,study,A1_J,0.6842868974048703,0.9849314033691015,False
mpdd,tubes,1,1,study,A1_L,0.6927364911396751,0.9867186643548018,False
mpdd,tubes,1,1,study,DUP_J,0.6743045373415244,0.9837233239984811,False
mpdd,tubes,1,1,study,DUP_L,0.6788877465494076,0.9847754415823897,False
mpdd,tubes,1,1,study,TRI_E_J,0.7202525638263615,0.9883137245282513,True
mpdd,tubes,1,1,study,TRI_E_L,0.7219944619483075,0.9890154303514811,True
mpdd,tubes,1,1,study,BAL_E_J,0.7181453920526448,0.9886426778207847,True
mpdd,tubes,1,1,study,BAL_E_L,0.7281520309102172,0.9901965173186962,True
mpdd,tubes,1,4,study,E,0.5294435389440466,0.9834243880563861,True
mpdd,tubes,1,4,study,A1_J,0.762837889418031,0.9895197234396766,False
mpdd,tubes,1,4,study,A1_L,0.7706503080665392,0.991269128564725,False
mpdd,tubes,1,4,study,DUP_J,0.7530573111634368,0.9891306954255948,False
mpdd,tubes,1,4,study,DUP_L,0.756398682825874,0.9901081369000273,False
mpdd,tubes,1,4,study,TRI_E_J,0.7885609962593509,0.9920034056729128,True
mpdd,tubes,1,4,study,TRI_E_L,0.7899754260408224,0.9929503969579562,True
mpdd,tubes,1,4,study,BAL_E_J,0.7872937941743479,0.9915641997413964,True
mpdd,tubes,1,4,study,BAL_E_L,0.7955839925865771,0.9933829280572346,True
btad,01,0,1,corrected,E,0.45167099554876144,0.9528108813086118,True
btad,01,0,1,corrected,A1_J,0.5741118507426105,0.9573495294053002,False
btad,01,0,1,corrected,A1_L,0.5855472440385161,0.9602289324813699,False
btad,01,0,1,corrected,DUP_J,0.5631028783304994,0.955280459461086,False
btad,01,0,1,corrected,DUP_L,0.5712903099625877,0.9575613352879302,False
btad,01,0,1,corrected,TRI_E_J,0.5758772596215951,0.9580828701959305,True
btad,01,0,1,corrected,TRI_E_L,0.5868042637237295,0.9607565781210752,True
btad,01,0,1,corrected,BAL_E_J,0.5821895467111354,0.9596687468600855,True
btad,01,0,1,corrected,BAL_E_L,0.5957450897824843,0.9626438139757598,True
btad,01,0,1,study,E,0.45167099554876144,0.9528108813086118,True
btad,01,0,1,study,A1_J,0.5741118013006167,0.9573495346384912,False
btad,01,0,1,study,A1_L,0.5855472020902185,0.9602289295376999,False
btad,01,0,1,study,DUP_J,0.5631028006632626,0.9552804561903417,False
btad,01,0,1,study,DUP_L,0.5712903135556058,0.9575613356150047,False
btad,01,0,1,study,TRI_E_J,0.5758772900136666,0.9580828728125261,True
btad,01,0,1,study,TRI_E_L,0.5868042287328665,0.9607565784481495,True
btad,01,0,1,study,BAL_E_J,0.5821895456984796,0.9596687527474252,True
btad,01,0,1,study,BAL_E_L,0.5957451220095372,0.9626438218255463,True
btad,01,0,4,corrected,E,0.4587856358479993,0.9560243376088502,True
btad,01,0,4,corrected,A1_J,0.5877758270161062,0.9596414426860922,False
btad,01,0,4,corrected,A1_L,0.5971980305577247,0.9614224912082392,False
btad,01,0,4,corrected,DUP_J,0.5782389294590825,0.9576405981798961,False
btad,01,0,4,corrected,DUP_L,0.5854884163405357,0.9590791323892658,False
btad,01,0,4,corrected,TRI_E_J,0.5893316878309296,0.9602779995342459,True
btad,01,0,4,corrected,TRI_E_L,0.5983162891204308,0.961908038443021,True
btad,01,0,4,corrected,BAL_E_J,0.592767243122315,0.9615415727963031,True
btad,01,0,4,corrected,BAL_E_L,0.6040061114844366,0.963554391824709,True
btad,01,0,4,study,E,0.4587856358479993,0.9560243376088502,True
btad,01,0,4,study,A1_J,0.5877758475192503,0.9596414413777946,False
btad,01,0,4,study,A1_L,0.5971979753608649,0.9614224941519091,False
btad,01,0,4,study,DUP_J,0.578238929271848,0.9576406024318638,False
btad,01,0,4,study,DUP_L,0.5854883960770495,0.9590791353329357,False
btad,01,0,4,study,TRI_E_J,0.5893317439803204,0.9602780021508415,True
btad,01,0,4,study,TRI_E_L,0.5983162662403249,0.9619080410596166,True
btad,01,0,4,study,BAL_E_J,0.5927672140924285,0.9615415682172612,True
btad,01,0,4,study,BAL_E_L,0.6040060174861814,0.9635543846290713,True
btad,01,1,1,corrected,E,0.456129132789321,0.9538354158162731,True
btad,01,1,1,corrected,A1_J,0.6000957760266803,0.9610252684626979,False
btad,01,1,1,corrected,A1_L,0.6034760579613658,0.9623156294482125,False
btad,01,1,1,corrected,DUP_J,0.5911779855657884,0.9592103134419744,False
btad,01,1,1,corrected,DUP_L,0.5939956679221239,0.9602415899350037,False
btad,01,1,1,corrected,TRI_E_J,0.6022022711507026,0.9617106876151302,True
btad,01,1,1,corrected,TRI_E_L,0.6046916795399107,0.9628093653185967,True
btad,01,1,1,corrected,BAL_E_J,0.6034671962322722,0.9626962027966173,True
btad,01,1,1,corrected,BAL_E_L,0.6074320848238169,0.9640272158638952,True
btad,01,1,1,study,E,0.456129132789321,0.9538354158162731,True
btad,01,1,1,study,A1_J,0.600095733949393,0.9610252668273258,False
btad,01,1,1,study,A1_L,0.6034760948626031,0.9623156310835845,False
btad,01,1,1,study,DUP_J,0.5911779995181327,0.9592103180210165,False
btad,01,1,1,study,DUP_L,0.593995395483762,0.9602415905891526,False
btad,01,1,1,study,TRI_E_J,0.6022021987752539,0.961710685979758,True
btad,01,1,1,study,TRI_E_L,0.6046916691771288,0.9628093633561501,True
btad,01,1,1,study,BAL_E_J,0.6034671528935974,0.9626962021424685,True
btad,01,1,1,study,BAL_E_L,0.607431928950428,0.9640272099765554,True
btad,01,1,4,corrected,E,0.4671449049778058,0.9595091930811982,True
btad,01,1,4,corrected,A1_J,0.6088867974925183,0.9645411400768232,False
btad,01,1,4,corrected,A1_L,0.6117879839199083,0.9655779359509755,False
btad,01,1,4,corrected,DUP_J,0.6017918456985298,0.9633338968825881,False
btad,01,1,4,corrected,DUP_L,0.6039421332320396,0.9641313243113121,False
btad,01,1,4,corrected,TRI_E_J,0.6103514655560063,0.965098918430252,True
btad,01,1,4,corrected,TRI_E_L,0.6127341326597653,0.9660130241040776,True
btad,01,1,4,corrected,BAL_E_J,0.6108920105703718,0.9655173889124382,True
btad,01,1,4,corrected,BAL_E_L,0.6135748095662281,0.9665044334939924,True
btad,01,1,4,study,E,0.4671449049778058,0.9595091930811982,True
btad,01,1,4,study,A1_J,0.6088867856549156,0.9645411400768233,False
btad,01,1,4,study,A1_L,0.6117879293898694,0.9655779320260822,False
btad,01,1,4,study,DUP_J,0.6017918382936105,0.9633339001533325,False
btad,01,1,4,study,DUP_L,0.6039421158277847,0.9641313262737586,False
btad,01,1,4,study,TRI_E_J,0.6103514861284879,0.9650989158136566,True
btad,01,1,4,study,TRI_E_L,0.6127340544114482,0.9660130185438123,True
btad,01,1,4,study,BAL_E_J,0.6108919843448535,0.9655173915290338,True
btad,01,1,4,study,BAL_E_L,0.6135747910630559,0.9665044312044713,True
btad,02,0,1,corrected,E,0.3598123902145449,0.9216300377955062,True
btad,02,0,1,corrected,A1_J,0.6079010495884618,0.9643045018894397,False
btad,02,0,1,corrected,A1_L,0.6131620071716315,0.9646453868169802,False
btad,02,0,1,corrected,DUP_J,0.5943756217449182,0.9635449293122286,False
btad,02,0,1,corrected,DUP_L,0.5990899736348368,0.9638377926394874,False
btad,02,0,1,corrected,TRI_E_J,0.6075565502546731,0.9645322544883915,True
btad,02,0,1,corrected,TRI_E_L,0.6131670457378509,0.9648420427263609,True
btad,02,0,1,corrected,BAL_E_J,0.6132154652605062,0.9645007812637099,True
btad,02,0,1,corrected,BAL_E_L,0.6189638828269189,0.9649172474066248,True
btad,02,0,1,study,E,0.3598123902145449,0.9216300377955062,True
btad,02,0,1,study,A1_J,0.6079011020088652,0.9643045012734849,False
btad,02,0,1,study,A1_L,0.6131619966468012,0.9646453872276168,False
btad,02,0,1,study,DUP_J,0.5943756163206668,0.9635449287149388,False
btad,02,0,1,study,DUP_L,0.5990899781618773,0.9638377912582551,False
btad,02,0,1,study,TRI_E_J,0.607556529550566,0.9645322543204037,True
btad,02,0,1,study,TRI_E_L,0.6131670785577026,0.9648420429690097,True
btad,02,0,1,study,BAL_E_J,0.6132154684141589,0.9645007803491101,True
btad,02,0,1,study,BAL_E_L,0.618963912680764,0.964917245428103,True
btad,02,0,4,corrected,E,0.3745859566926415,0.9273997402822561,True
btad,02,0,4,corrected,A1_J,0.5954014033153547,0.9621153361640833,False
btad,02,0,4,corrected,A1_L,0.6044364574937492,0.9627731324749635,False
btad,02,0,4,corrected,DUP_J,0.582998894248507,0.9612818639471006,False
btad,02,0,4,corrected,DUP_L,0.589420989875513,0.9617580037095625,False
btad,02,0,4,corrected,TRI_E_J,0.5963478146106088,0.9624859892597539,True
btad,02,0,4,corrected,TRI_E_L,0.6044432425121145,0.9630142645107622,True
btad,02,0,4,corrected,BAL_E_J,0.6025270363724451,0.9627204026272478,True
btad,02,0,4,corrected,BAL_E_L,0.612865382959299,0.963462794243154,True
btad,02,0,4,study,E,0.3745859566926415,0.9273997402822561,True
btad,02,0,4,study,A1_J,0.5954013821401274,0.962115336014761,False
btad,02,0,4,study,A1_L,0.6044364660587815,0.962773131261719,False
btad,02,0,4,study,DUP_J,0.5829988924935121,0.9612818640030966,False
btad,02,0,4,study,DUP_L,0.5894210013853702,0.9617580030749422,False
btad,02,0,4,study,TRI_E_J,0.5963478015669943,0.962485989446407,True
btad,02,0,4,study,TRI_E_L,0.604443251906686,0.9630142641374562,True
btad,02,0,4,study,BAL_E_J,0.6025270336450937,0.962720402085954,True
btad,02,0,4,study,BAL_E_L,0.6128653588403828,0.9634627928245912,True
btad,02,1,1,corrected,E,0.35686574825710193,0.9203398320545133,True
btad,02,1,1,corrected,A1_J,0.5729596934778027,0.9609547443241679,False
btad,02,1,1,corrected,A1_L,0.582655733046791,0.961611578158819,False
btad,02,1,1,corrected,DUP_J,0.5569163160275338,0.9597881150434266,False
btad,02,1,1,corrected,DUP_L,0.5641776073505765,0.9603158151791905,False
btad,02,1,1,corrected,TRI_E_J,0.5736641599027019,0.961326671457267,True
btad,02,1,1,corrected,TRI_E_L,0.5831981511217117,0.961908984582932,True
btad,02,1,1,corrected,BAL_E_J,0.5853431046247101,0.9619311597440776,True
btad,02,1,1,corrected,BAL_E_L,0.5959450206147674,0.9626161829050706,True
btad,02,1,1,study,E,0.35686574825710193,0.9203398320545133,True
btad,02,1,1,study,A1_J,0.5729596796970395,0.9609547452387677,False
btad,02,1,1,study,A1_L,0.5826557123673538,0.9616115775801946,False
btad,02,1,1,study,DUP_J,0.5569163334655606,0.9597881150434266,False
btad,02,1,1,study,DUP_L,0.5641776040535484,0.9603158146192315,False
btad,02,1,1,study,TRI_E_J,0.5736641743821161,0.9613266723345361,True
