reference_seed,shot,category,contrast,contrast_group,metric,delta
0,4,bracket_brown,DUP_L - DUP_J,matching,pixel_ap,0.0028712418360827413
0,4,bracket_white,DUP_L - DUP_J,matching,pixel_ap,0.003183951245424671
0,4,connector,DUP_L - DUP_J,matching,pixel_ap,0.013718777555177863
0,4,metal_plate,DUP_L - DUP_J,matching,pixel_ap,-0.0008948302739895109
0,4,tubes,DUP_L - DUP_J,matching,pixel_ap,0.0027827246121882032
0,4,bracket_black,TRI_L - TRI_J,matching,pixel_ap,-0.011375748788204937
0,4,bracket_brown,TRI_L - TRI_J,matching,pixel_ap,0.004142637550157015
0,4,bracket_white,TRI_L - TRI_J,matching,pixel_ap,0.02707815711441776
0,4,connector,TRI_L - TRI_J,matching,pixel_ap,0.029531456316671756
0,4,metal_plate,TRI_L - TRI_J,matching,pixel_ap,0.0042092732905160135
0,4,tubes,TRI_L - TRI_J,matching,pixel_ap,0.013919511188269618
0,4,bracket_black,BAL_L - BAL_J,matching,pixel_ap,-0.015976218065478637
0,4,bracket_brown,BAL_L - BAL_J,matching,pixel_ap,0.0046159040427277
0,4,bracket_white,BAL_L - BAL_J,matching,pixel_ap,0.008335100941435067
0,4,connector,BAL_L - BAL_J,matching,pixel_ap,0.023616602779054252
0,4,metal_plate,BAL_L - BAL_J,matching,pixel_ap,0.00409592963085792
0,4,tubes,BAL_L - BAL_J,matching,pixel_ap,0.018360046999825852
