variant,dataset,seed,shot,category,method,pixel_ap
ot_sinkhorn,btad,1,4,01,A1_L,0.5827807966598226
ot_sinkhorn,btad,1,4,01,DUP_J,0.587674349924777
ot_sinkhorn,btad,1,4,01,DUP_L,0.585081798657487
ot_sinkhorn,btad,1,4,01,TRI_J,0.5630918875387008
ot_sinkhorn,btad,1,4,01,TRI_L,0.5587964993022174
ot_sinkhorn,btad,1,4,01,BAL_J,0.5574317694359323
ot_sinkhorn,btad,1,4,01,BAL_L,0.5523375307601681
ot_sinkhorn,btad,1,4,02,A1_J,0.5222871922043499
ot_sinkhorn,btad,1,4,02,A1_L,0.5255311071731259
ot_sinkhorn,btad,1,4,02,DUP_J,0.5227331918072194
ot_sinkhorn,btad,1,4,02,DUP_L,0.5249439137032501
ot_sinkhorn,btad,1,4,02,TRI_J,0.602994436933613
ot_sinkhorn,btad,1,4,02,TRI_L,0.5967936584984491
ot_sinkhorn,btad,1,4,02,BAL_J,0.5978125552231213
ot_sinkhorn,btad,1,4,02,BAL_L,0.5912137312912347
ot_sinkhorn,btad,1,4,03,A1_J,0.7426982834072782
ot_sinkhorn,btad,1,4,03,A1_L,0.7468483408713102
ot_sinkhorn,btad,1,4,03,DUP_J,0.7381740437382383
ot_sinkhorn,btad,1,4,03,DUP_L,0.7403578262624682
ot_sinkhorn,btad,1,4,03,TRI_J,0.7491152274351471
ot_sinkhorn,btad,1,4,03,TRI_L,0.7575113472398151
ot_sinkhorn,btad,1,4,03,BAL_J,0.7516493650532785
ot_sinkhorn,btad,1,4,03,BAL_L,0.759905417097865
