shot,method,category,pixel_auroc,pixel_ap,image_auroc,image_ap
2,TRI_lambda_0.25,bracket_white,0.9958200184917081,0.14441919760279248,0.8188888888888889,0.8125026038337754
2,TRI_lambda_0.25,connector,0.972175056526341,0.27126729057389376,0.7523809523809524,0.5233478920555363
2,TRI_lambda_0.25,metal_plate,0.9750589964284702,0.8694192390780906,1.0,1.0
2,TRI_lambda_0.25,tubes,0.9876259883820484,0.6973310324737481,0.970108695652174,0.9875437325360517
2,TRI_lambda_0.50,bracket_black,0.9463923020421473,0.018280885701258527,0.47938829787234044,0.5770319633434704
2,TRI_lambda_0.50,bracket_brown,0.9201107895203532,0.039436139164441164,0.5437405731523378,0.744629295971671
2,TRI_lambda_0.50,bracket_white,0.9957851564668253,0.14185512666629974,0.8244444444444444,0.8157491008392916
2,TRI_lambda_0.50,connector,0.970410935815227,0.26631834528729453,0.7547619047619047,0.5291850656346455
2,TRI_lambda_0.50,metal_plate,0.9747520170146685,0.8706268358449969,1.0,1.0
2,TRI_lambda_0.50,tubes,0.9869357931195317,0.6941721687940798,0.970108695652174,0.9875323723273923
2,TRI_lambda_0.75,bracket_black,0.9461422614183973,0.01817975174538841,0.4800531914893617,0.5784708086875461
2,TRI_lambda_0.75,bracket_brown,0.9178569068960191,0.03835415074475203,0.5422322775263951,0.7401848574800433
2,TRI_lambda_0.75,bracket_white,0.9957301436970634,0.14550097664520595,0.8277777777777777,0.8186054233189373
2,TRI_lambda_0.75,connector,0.9682701556563351,0.2590621592545902,0.7523809523809524,0.5392125656841852
2,TRI_lambda_0.75,metal_plate,0.9743456465476457,0.8714238786933595,1.0,1.0
2,TRI_lambda_0.75,tubes,0.9861462850224049,0.6903102032309858,0.9678442028985508,0.9866167642664398
2,BAL_L,bracket_black,0.9458136215626587,0.012632746575607878,0.4541223404255319,0.5580177388137726
2,BAL_L,bracket_brown,0.9279971070673244,0.04017309650456524,0.5716440422322775,0.7586885658644603
2,BAL_L,bracket_white,0.9962433077583706,0.1336455158380586,0.8366666666666667,0.8359471703211829
2,BAL_L,connector,0.9760329172933593,0.2800657964821751,0.7666666666666667,0.5439560752530678
2,BAL_L,metal_plate,0.9824042548278263,0.8974876362492815,1.0,1.0
2,BAL_L,tubes,0.9899188391256882,0.7160805124226725,0.9710144927536232,0.9883041119802366
2,BAL_lambda_0.25,bracket_black,0.9459588179408875,0.01275638232991875,0.4607712765957447,0.5590021321751414
2,BAL_lambda_0.25,bracket_brown,0.9265460326308825,0.0390447960614958,0.5716440422322775,0.7621624544995004
2,BAL_lambda_0.25,bracket_white,0.9963103120756985,0.13716424709396774,0.8422222222222222,0.8435481235263562
2,BAL_lambda_0.25,connector,0.9748255562397984,0.27464538333254696,0.7523809523809524,0.5272941657340153
2,BAL_lambda_0.25,metal_plate,0.9822628465827078,0.8993489043463889,1.0,1.0
2,BAL_lambda_0.25,tubes,0.9892675211744907,0.712215652396933,0.9710144927536232,0.988155042026551
2,BAL_lambda_0.50,bracket_black,0.9459881780643702,0.012855563433283776,0.4654255319148936,0.561647920245047
2,BAL_lambda_0.50,bracket_brown,0.9245057164083212,0.037302012231016535,0.5701357466063348,0.758448618856583
2,BAL_lambda_0.50,bracket_white,0.9963498718202465,0.1380068113775401,0.8455555555555555,0.8466799318052233
2,BAL_lambda_0.50,connector,0.9731321411483528,0.2678914654662559,0.7595238095238095,0.5452113326007622
2,BAL_lambda_0.50,metal_plate,0.9819803543946131,0.9006668963600047,1.0,1.0
2,BAL_lambda_0.50,tubes,0.9884786891188543,0.7075875188535217,0.9732789855072463,0.9889415267973176
2,BAL_lambda_0.75,bracket_black,0.9459265888605569,0.012947913695261264,0.4714095744680851,0.5604685947217802
2,BAL_lambda_0.75,bracket_brown,0.9219401226980521,0.03632305345533369,0.5716440422322775,0.752339379661361
2,BAL_lambda_0.75,bracket_white,0.9963585255143663,0.13405192497524712,0.8544444444444445,0.8574187093941239
2,BAL_lambda_0.75,connector,0.9709547514557965,0.25829096597844114,0.7571428571428571,0.5431705162742315
