ablation,rule,dataset,seed,shot,category,construction,n_images,pixel_ap
ABL_N,J,btad,0,1,02,BAL,230,0.5779613738465608
ABL_C,L,btad,0,1,02,A1,230,0.6131620684951762
ABL_C,J,btad,0,1,02,A1,230,0.6079011104183835
ABL_C,L,btad,0,1,02,DUP,230,0.5990899845872022
ABL_C,J,btad,0,1,02,DUP,230,0.5943756076197584
ABL_C,L,btad,0,1,02,TRI,230,0.6516236476698958
ABL_C,J,btad,0,1,02,TRI,230,0.646336422478762
ABL_C,L,btad,0,1,02,BAL,230,0.6469115447751266
ABL_C,J,btad,0,1,02,BAL,230,0.6407136160924192
ABL_S,J,btad,0,1,02,A1,230,0.5960188979441907
ABL_S,J,btad,0,1,02,DUP,230,0.5815384376719336
ABL_S,J,btad,0,1,02,TRI,230,0.6366295975803821
ABL_S,J,btad,0,1,02,BAL,230,0.6405652595984953
baseline,L,btad,0,1,03,A1,441,0.6841799948610926
baseline,J,btad,0,1,03,A1,441,0.6733424886354216
baseline,L,btad,0,1,03,DUP,441,0.677036241145994
baseline,J,btad,0,1,03,DUP,441,0.6696079278384292
baseline,L,btad,0,1,03,TRI,441,0.7098432212988486
baseline,J,btad,0,1,03,TRI,441,0.7040606966542792
baseline,L,btad,0,1,03,BAL,441,0.7017428766631781
baseline,J,btad,0,1,03,BAL,441,0.696882941644397
ABL_N,L,btad,0,1,03,A1,441,0.6369936684832973
ABL_N,J,btad,0,1,03,A1,441,0.6316043927990058
ABL_N,L,btad,0,1,03,DUP,441,0.6329571011609774
ABL_N,J,btad,0,1,03,DUP,441,0.6301013279287583
ABL_N,L,btad,0,1,03,TRI,441,0.6801398535001206
ABL_N,J,btad,0,1,03,TRI,441,0.6746655399595127
ABL_N,L,btad,0,1,03,BAL,441,0.683031377941294
ABL_N,J,btad,0,1,03,BAL,441,0.6769803176840937
ABL_C,L,btad,0,1,03,A1,441,0.6841799948610926
ABL_C,J,btad,0,1,03,A1,441,0.6733424886354216
ABL_C,L,btad,0,1,03,DUP,441,0.677036241145994
ABL_C,J,btad,0,1,03,DUP,441,0.6696079278384292
ABL_C,L,btad,0,1,03,TRI,441,0.7098432212988486
ABL_C,J,btad,0,1,03,TRI,441,0.7040606966542792
ABL_C,L,btad,0,1,03,BAL,441,0.6200038188985381
ABL_C,J,btad,0,1,03,BAL,441,0.6168958033458792
ABL_S,J,btad,0,1,03,A1,441,0.6478197434087777
ABL_S,J,btad,0,1,03,DUP,441,0.6398775491632313
ABL_S,J,btad,0,1,03,TRI,441,0.6787517460942916
ABL_S,J,btad,0,1,03,BAL,441,0.6763035145661704
