method,frame,dataset,seed,shot,category,region_grid,n_pixels,pixel_ap,pixel_auroc,seconds,source,bootstrap_stride,pixel_ap_on_bootstrap_grid
PatchCore_native_local128,common_region,mpdd,0,4,bracket_brown,392x392,11832128,0.03046446418099056,0.9039198562933384,0.85,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_bracket_brown.npz,8,0.0299972003250278
PatchCore_native_official224,native,mpdd,0,4,bracket_brown,224x224,3863552,0.05313647181136357,0.9421250839174639,0.29,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_brown.npz,8,0.05404767021063195
PatchCore_native_official224,common_region,mpdd,0,4,bracket_brown,392x392,11832128,0.053057944890653914,0.9421381878308285,0.9,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_brown.npz,8,0.05239461375601884
anomalydino_canvas,native,mpdd,0,4,bracket_brown,32x32,78848,0.04764237990996987,0.913473676680871,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_bracket_brown.npz,1,0.04764237990996987
anomalydino_canvas,common_region,mpdd,0,4,bracket_brown,392x392,11832128,0.048858064070008436,0.9205131846364781,0.91,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_bracket_brown.npz,8,0.04877222682381757
anomalydino_canvas_rotation,native,mpdd,0,4,bracket_brown,32x32,78848,0.047685776777576266,0.9135872555376587,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_bracket_brown.npz,1,0.047685776777576266
anomalydino_canvas_rotation,common_region,mpdd,0,4,bracket_brown,392x392,11832128,0.048975248845851735,0.9206442020062512,0.89,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_bracket_brown.npz,8,0.04892192884872658
controlled_A1_J,native,mpdd,0,4,bracket_white,32x32,61440,0.11302196608904702,0.9977249788370124,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_white\patch_scores.npz,1,0.11302196608904702
controlled_A1_J,common_region,mpdd,0,4,bracket_white,392x392,9219840,0.15665920540738132,0.9958294242846979,0.68,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_white\patch_scores.npz,8,0.17098985087484064
controlled_A1_L,native,mpdd,0,4,bracket_white,32x32,61440,0.14314495699983495,0.9978837012437325,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_white\patch_scores.npz,1,0.14314495699983495
controlled_A1_L,common_region,mpdd,0,4,bracket_white,392x392,9219840,0.16899140076257896,0.9955517704137886,0.66,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_white\patch_scores.npz,8,0.1723229769421409
PatchCore_native_local128,native,mpdd,0,4,bracket_white,128x128,983040,0.000978746367226684,0.7980177131026065,0.07,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_bracket_white.npz,8,0.0014055465172826843
PatchCore_native_local128,common_region,mpdd,0,4,bracket_white,392x392,9219840,0.0010217254224476609,0.7964723379670555,0.65,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_bracket_white.npz,8,0.001037679340698476
PatchCore_native_official224,native,mpdd,0,4,bracket_white,224x224,3010560,0.007058339174451304,0.9622638612240199,0.23,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_white.npz,8,0.006471894617851413
PatchCore_native_official224,common_region,mpdd,0,4,bracket_white,392x392,9219840,0.006935372363689199,0.9625029138982324,0.65,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_white.npz,8,0.006993834777522446
anomalydino_canvas,native,mpdd,0,4,bracket_white,32x32,61440,0.11337956640364408,0.995667013956719,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_bracket_white.npz,1,0.11337956640364408
anomalydino_canvas,common_region,mpdd,0,4,bracket_white,392x392,9219840,0.14137244375848873,0.9946011402590068,0.68,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_bracket_white.npz,8,0.14104846018495215
anomalydino_canvas_rotation,native,mpdd,0,4,bracket_white,32x32,61440,0.07718861319341551,0.9957918213192681,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_bracket_white.npz,1,0.07718861319341551
anomalydino_canvas_rotation,common_region,mpdd,0,4,bracket_white,392x392,9219840,0.10445510153050355,0.9944862583940376,0.68,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_bracket_white.npz,8,0.12383234131535215
controlled_A1_J,native,mpdd,0,4,connector,32x32,45056,0.22019765492442894,0.9587769732374185,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\connector\patch_scores.npz,1,0.22019765492442894
controlled_A1_J,common_region,mpdd,0,4,connector,392x392,6761216,0.3674159972207791,0.9653452579084013,0.49,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\connector\patch_scores.npz,8,0.3622739445617131
controlled_A1_L,native,mpdd,0,4,connector,32x32,45056,0.265387169562123,0.9688472537482127,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\connector\patch_scores.npz,1,0.265387169562123
controlled_A1_L,common_region,mpdd,0,4,connector,392x392,6761216,0.4145530874428729,0.9717319861465323,0.49,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\connector\patch_scores.npz,8,0.41116257491606295
PatchCore_native_local128,native,mpdd,0,4,connector,128x128,720896,0.05791940228766605,0.930970680811289,0.05,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_connector.npz,8,0.05589584436849197
PatchCore_native_local128,common_region,mpdd,0,4,connector,392x392,6761216,0.0590136142380408,0.9299140587838368,0.45,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_connector.npz,8,0.05718329953907132
PatchCore_native_official224,native,mpdd,0,4,connector,224x224,2207744,0.26032669456493807,0.976933257228206,0.15,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_connector.npz,8,0.26883821563640936
PatchCore_native_official224,common_region,mpdd,0,4,connector,392x392,6761216,0.26097138706262246,0.9769408963161789,0.45,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_connector.npz,8,0.25891592843305344
anomalydino_canvas,native,mpdd,0,4,connector,32x32,45056,0.1566842290534105,0.9505019554343224,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_connector.npz,1,0.1566842290534105
anomalydino_canvas,common_region,mpdd,0,4,connector,392x392,6761216,0.2073582808060249,0.9574223875270161,0.47,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_connector.npz,8,0.2026871538162425
anomalydino_canvas_rotation,native,mpdd,0,4,connector,32x32,45056,0.16064770222794617,0.9505772365619906,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_connector.npz,1,0.16064770222794617
anomalydino_canvas_rotation,common_region,mpdd,0,4,connector,392x392,6761216,0.21156471261585405,0.9575440626624127,0.47,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_connector.npz,8,0.20714400465643973
controlled_A1_J,native,mpdd,0,4,metal_plate,32x32,99328,0.8170954320421547,0.9581447347470035,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\metal_plate\patch_scores.npz,1,0.8170954320421547
controlled_A1_J,common_region,mpdd,0,4,metal_plate,392x392,14905408,0.8735626049445311,0.9694152464984406,1.35,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\metal_plate\patch_scores.npz,8,0.8728383930491839
controlled_A1_L,native,mpdd,0,4,metal_plate,32x32,99328,0.8187961895148197,0.961190839234068,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\metal_plate\patch_scores.npz,1,0.8187961895148198
controlled_A1_L,common_region,mpdd,0,4,metal_plate,392x392,14905408,0.874640352491697,0.9718284433033669,1.36,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\metal_plate\patch_scores.npz,8,0.873990115542706
PatchCore_native_local128,native,mpdd,0,4,metal_plate,128x128,1589248,0.853428106690361,0.9647990877018564,0.14,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_metal_plate.npz,8,0.855084608336701
PatchCore_native_local128,common_region,mpdd,0,4,metal_plate,392x392,14905408,0.8551468750791774,0.9642552124800509,1.31,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_metal_plate.npz,8,0.8559632397966515
PatchCore_native_official224,native,mpdd,0,4,metal_plate,224x224,4867072,0.9264496585936414,0.98422647258952,0.41,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_metal_plate.npz,8,0.9273615899939864
PatchCore_native_official224,common_region,mpdd,0,4,metal_plate,392x392,14905408,0.9265434116912223,0.9842358737962956,1.29,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_metal_plate.npz,8,0.9269606322330733
anomalydino_canvas,native,mpdd,0,4,metal_plate,32x32,99328,0.78115635805984,0.9371466382057251,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_metal_plate.npz,1,0.7811563580598399
anomalydino_canvas,common_region,mpdd,0,4,metal_plate,392x392,14905408,0.866327548005329,0.9629570835606668,1.34,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_metal_plate.npz,8,0.8666061078384911
anomalydino_canvas_rotation,native,mpdd,0,4,metal_plate,32x32,99328,0.7937730716533,0.9389566212155049,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_metal_plate.npz,1,0.7937730716533
anomalydino_canvas_rotation,common_region,mpdd,0,4,metal_plate,392x392,14905408,0.878964871780184,0.965337419170734,1.36,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_metal_plate.npz,8,0.8792235350575159
controlled_A1_J,native,mpdd,0,4,tubes,32x32,103424,0.6644425787130224,0.9757020137035344,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\tubes\patch_scores.npz,1,0.6644425787130224
controlled_A1_J,common_region,mpdd,0,4,tubes,392x392,15520064,0.734786456167025,0.9836440363724189,1.15,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\tubes\patch_scores.npz,8,0.7391454594239708
controlled_A1_L,native,mpdd,0,4,tubes,32x32,103424,0.6671590964123464,0.979986099692121,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\tubes\patch_scores.npz,1,0.6671590964123464
controlled_A1_L,common_region,mpdd,0,4,tubes,392x392,15520064,0.7414558627537297,0.9862258584459543,1.14,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\tubes\patch_scores.npz,8,0.745311923267125
PatchCore_native_local128,native,mpdd,0,4,tubes,128x128,1654784,0.11888146494280472,0.8940297437582098,0.13,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_tubes.npz,8,0.11854644970529563
PatchCore_native_local128,common_region,mpdd,0,4,tubes,392x392,15520064,0.11933019990087072,0.8910364347469727,1.08,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_tubes.npz,8,0.11883987666676596
PatchCore_native_official224,native,mpdd,0,4,tubes,224x224,5067776,0.3017206230066194,0.9641074922617031,0.36,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_tubes.npz,8,0.3069059410383085
PatchCore_native_official224,common_region,mpdd,0,4,tubes,392x392,15520064,0.30130494273055236,0.9640219361723534,1.12,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_tubes.npz,8,0.30140848416109794
anomalydino_canvas,native,mpdd,0,4,tubes,32x32,103424,0.5217500502401755,0.9561500111562523,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_tubes.npz,1,0.5217500502401755
anomalydino_canvas,common_region,mpdd,0,4,tubes,392x392,15520064,0.58715982140502,0.9657687867694024,1.14,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_tubes.npz,8,0.5929118323539808
anomalydino_canvas_rotation,native,mpdd,0,4,tubes,32x32,103424,0.526095495294038,0.9560720992857946,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_tubes.npz,1,0.526095495294038
anomalydino_canvas_rotation,common_region,mpdd,0,4,tubes,392x392,15520064,0.5890151955966136,0.9662677326677944,1.15,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_tubes.npz,8,0.59427946254118
controlled_A1_J,native,mpdd,1,1,bracket_black,32x32,80896,0.18746067742625488,0.9355740888580436,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_black\patch_scores.npz,1,0.18746067742625488
controlled_A1_J,common_region,mpdd,1,1,bracket_black,392x392,12139456,0.11786810575111824,0.9366146981202248,0.86,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_black\patch_scores.npz,8,0.1340240843392345
controlled_A1_L,native,mpdd,1,1,bracket_black,32x32,80896,0.18794463497206393,0.9416874473239509,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_black\patch_scores.npz,1,0.18794463497206393
controlled_A1_L,common_region,mpdd,1,1,bracket_black,392x392,12139456,0.12713037776173572,0.93828030078618,0.87,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_black\patch_scores.npz,8,0.14022046080481798
PatchCore_native_local128,native,mpdd,1,1,bracket_black,128x128,1294336,0.0033368976943439783,0.828007343798149,0.09,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_black.npz,8,0.002613869997892713
PatchCore_native_local128,common_region,mpdd,1,1,bracket_black,392x392,12139456,0.003393222108253889,0.8239402187867444,0.83,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_black.npz,8,0.003409271823317438
PatchCore_native_official224,native,mpdd,1,1,bracket_black,224x224,3963904,0.01081680422710006,0.9167490360243583,0.28,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_black.npz,8,0.008665136558000119
PatchCore_native_official224,common_region,mpdd,1,1,bracket_black,392x392,12139456,0.010886166777619007,0.9166650086668323,0.83,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_black.npz,8,0.011973664086018796
anomalydino_canvas,native,mpdd,1,1,bracket_black,32x32,80896,0.14400956163356024,0.9222028890713087,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s1_k1_bracket_black.npz,1,0.14400956163356024
anomalydino_canvas,common_region,mpdd,1,1,bracket_black,392x392,12139456,0.09875187882200985,0.9109223470970262,0.86,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s1_k1_bracket_black.npz,8,0.09443768201384029
anomalydino_canvas_rotation,native,mpdd,1,1,bracket_black,32x32,80896,0.15764249232955924,0.9195448288154688,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s1_k1_bracket_black.npz,1,0.15764249232955924
anomalydino_canvas_rotation,common_region,mpdd,1,1,bracket_black,392x392,12139456,0.10815993680276517,0.9111698149511773,0.87,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s1_k1_bracket_black.npz,8,0.10133425831825305
controlled_A1_J,native,mpdd,1,1,bracket_brown,32x32,78848,0.034018966773522355,0.8897673510698797,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_brown\patch_scores.npz,1,0.034018966773522355
controlled_A1_J,common_region,mpdd,1,1,bracket_brown,392x392,11832128,0.04127683223955887,0.8996627890558799,0.84,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_brown\patch_scores.npz,8,0.04052842728049517
controlled_A1_L,native,mpdd,1,1,bracket_brown,32x32,78848,0.03711607983048042,0.9000156764801551,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_brown\patch_scores.npz,1,0.03711607983048042
controlled_A1_L,common_region,mpdd,1,1,bracket_brown,392x392,11832128,0.043914020484571575,0.9049487534615744,0.85,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_brown\patch_scores.npz,8,0.043099569795162364
PatchCore_native_local128,native,mpdd,1,1,bracket_brown,128x128,1261568,0.01972311814898145,0.8406320849354644,0.09,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_brown.npz,8,0.021553436371754893
PatchCore_native_local128,common_region,mpdd,1,1,bracket_brown,392x392,11832128,0.019750400176417653,0.8384271262322665,0.82,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_brown.npz,8,0.019550138353665317
PatchCore_native_official224,native,mpdd,1,1,bracket_brown,224x224,3863552,0.041480504817953595,0.9279000242912133,0.27,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_brown.npz,8,0.041726950507330385
PatchCore_native_official224,common_region,mpdd,1,1,bracket_brown,392x392,11832128,0.04139334144091033,0.9277781863653987,0.82,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_brown.npz,8,0.04109451598943419
anomalydino_canvas,native,mpdd,1,1,bracket_brown,32x32,78848,0.049427992699417195,0.9194990501583307,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s1_k1_bracket_brown.npz,1,0.049427992699417195
anomalydino_canvas,common_region,mpdd,1,1,bracket_brown,392x392,11832128,0.06132555698639252,0.9270883686749655,0.86,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s1_k1_bracket_brown.npz,8,0.06167899885045463
anomalydino_canvas_rotation,native,mpdd,1,1,bracket_brown,32x32,78848,0.05130638222017958,0.9202406490952483,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s1_k1_bracket_brown.npz,1,0.05130638222017958
anomalydino_canvas_rotation,common_region,mpdd,1,1,bracket_brown,392x392,11832128,0.06575270401800291,0.9277907055094907,0.85,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s1_k1_bracket_brown.npz,8,0.06611241917876956
controlled_A1_J,native,mpdd,1,1,bracket_white,32x32,61440,0.06991605181120165,0.9856213778732825,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_white\patch_scores.npz,1,0.06991605181120165
controlled_A1_J,common_region,mpdd,1,1,bracket_white,392x392,9219840,0.06907297534106908,0.9846672708431891,0.65,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_white\patch_scores.npz,8,0.07724119990102987
controlled_A1_L,native,mpdd,1,1,bracket_white,32x32,61440,0.08407218356902497,0.9873469753207007,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_white\patch_scores.npz,1,0.08407218356902497
controlled_A1_L,common_region,mpdd,1,1,bracket_white,392x392,9219840,0.08649866561937351,0.9862659393768132,0.65,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s1_k1\bracket_white\patch_scores.npz,8,0.10216008779327462
PatchCore_native_local128,native,mpdd,1,1,bracket_white,128x128,983040,0.0033540202977776074,0.9417335904695837,0.07,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_white.npz,8,0.011017005265157184
PatchCore_native_local128,common_region,mpdd,1,1,bracket_white,392x392,9219840,0.003346429264627067,0.9410114963137434,0.64,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_white.npz,8,0.0035161591553920873
PatchCore_native_official224,native,mpdd,1,1,bracket_white,224x224,3010560,0.00511091025493456,0.9611427985250957,0.21,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_white.npz,8,0.004919130470606948
PatchCore_native_official224,common_region,mpdd,1,1,bracket_white,392x392,9219840,0.004988485280965479,0.9615544609263128,0.62,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_white.npz,8,0.005376681838765997
anomalydino_canvas,native,mpdd,1,1,bracket_white,32x32,61440,0.05996143352771147,0.9748594560569556,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s1_k1_bracket_white.npz,1,0.05996143352771147
anomalydino_canvas,common_region,mpdd,1,1,bracket_white,392x392,9219840,0.07073061659203626,0.9763109752334912,0.65,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s1_k1_bracket_white.npz,8,0.07787403840883578
