dataset,seed,shot,method,category,pixel_ap,pixel_auroc,image_ap,image_auroc
visa,1,8,C,macaroni2,0.03469666050514915,0.9423090239806605,0.6583573560589573,0.6457
visa,1,8,C,pcb1,0.6739616987035204,0.989356446909749,0.7760774650369576,0.7854
visa,1,8,C,pcb2,0.0767480385158337,0.9333794535894689,0.7289531066915322,0.7156
visa,1,8,C,pcb3,0.09397052035208912,0.9426832100742295,0.5250126657544979,0.5089108910891089
visa,1,8,C,pcb4,0.16059330071111624,0.9666569488624567,0.9365380061368245,0.9531683168316831
visa,1,8,C,pipe_fryum,0.5945719665639618,0.9911654342933789,0.9899128033064015,0.9782
visa,1,8,A1_J,candle,0.3167938447609884,0.9886242746361587,0.9115143400020597,0.8996
visa,1,8,A1_J,capsules,0.40608282610568536,0.9790816592553461,0.9836452372506517,0.9718333333333333
visa,1,8,A1_J,cashew,0.6385359445387728,0.9942853785972754,0.9809211430466536,0.9598
visa,1,8,A1_J,chewinggum,0.7123157923307628,0.9940883950939527,0.9937113440848855,0.9864
visa,1,8,A1_J,fryum,0.37389245789595604,0.9559566690539452,0.994453803639156,0.9884
visa,1,8,A1_J,macaroni1,0.21144280715028194,0.9879048644530649,0.9442210223586704,0.9353
visa,1,8,A1_J,macaroni2,0.21978541581682864,0.9804969043384878,0.8336574019549283,0.8161
visa,1,8,A1_J,pcb1,0.8124734126420384,0.99366008708962,0.8828757607551936,0.9078
visa,1,8,A1_J,pcb2,0.19926294399945066,0.9722832709508125,0.8524867093151672,0.889
visa,1,8,A1_J,pcb3,0.2790943971860331,0.9755382174495981,0.8957831397487525,0.8846534653465347
visa,1,8,A1_J,pcb4,0.28243801551531333,0.9661638638252241,0.9741814749651327,0.9771287128712871
visa,1,8,A1_J,pipe_fryum,0.5039293643629007,0.9919213271409278,0.993286812376206,0.9844
visa,1,8,TRI_J,candle,0.34452253041355385,0.9897674988012772,0.8997595732943988,0.8836
visa,1,8,TRI_J,capsules,0.39050445198761036,0.9780618503163092,0.9798524303251299,0.9691666666666666
visa,1,8,TRI_J,cashew,0.6459109600643625,0.994557316259027,0.9788787124972951,0.9566
visa,1,8,TRI_J,chewinggum,0.7164708229168266,0.9939136217993665,0.9935347825126868,0.9856
visa,1,8,TRI_J,fryum,0.3580245183238449,0.9530923835671066,0.9931388776275027,0.985
visa,1,8,TRI_J,macaroni1,0.19137319492547514,0.9796197886891396,0.9231202873923336,0.9036
visa,1,8,TRI_J,macaroni2,0.20857452820617592,0.9829543610166718,0.8026385756281327,0.7751
visa,1,8,TRI_J,pcb1,0.7944947390350439,0.994253114566602,0.8569080340029438,0.8926
visa,1,8,TRI_J,pcb2,0.18164878096619055,0.9733087180968151,0.8386873122288102,0.8734
visa,1,8,TRI_J,pcb3,0.29130082472418145,0.9775087945774628,0.8929965201785095,0.8864356435643564
visa,1,8,TRI_J,pcb4,0.28035625338955217,0.96532823949681,0.9743155907146319,0.977029702970297
visa,1,8,TRI_J,pipe_fryum,0.476022596144321,0.9915082711732516,0.9939162379084572,0.9852
visa,1,8,BAL_J,candle,0.32093103339468626,0.9898766710746357,0.9062315255035954,0.8913
visa,1,8,BAL_J,capsules,0.3849826281997008,0.9777323980983023,0.9833880783487764,0.9736666666666667
visa,1,8,BAL_J,cashew,0.6608856857379195,0.9951190611544727,0.9835147929529565,0.9654
visa,1,8,BAL_J,chewinggum,0.6902293108314963,0.9940479616643249,0.993183219014502,0.9848
visa,1,8,BAL_J,fryum,0.3835924737134146,0.9610134966536612,0.9948386081253742,0.9892
visa,1,8,BAL_J,macaroni1,0.20443149711028596,0.984554564036873,0.9384341868217889,0.9277
visa,1,8,BAL_J,macaroni2,0.21344154306046725,0.9812757542412252,0.7999575111124305,0.7678
visa,1,8,BAL_J,pcb1,0.8143334682831599,0.9944527574319395,0.8730203396331256,0.899
visa,1,8,BAL_J,pcb2,0.18840163396048334,0.973703932574847,0.8460662699873155,0.872
visa,1,8,BAL_J,pcb3,0.3053514990142696,0.9770772786696751,0.8844095063668924,0.877029702970297
visa,1,8,BAL_J,pcb4,0.28453783109827857,0.9691782866759661,0.9754511196062735,0.9775247524752475
visa,1,8,BAL_J,pipe_fryum,0.49914184447302545,0.992327394784418,0.9949459696315789,0.988
visa,1,8,DUP_J,candle,0.3376170234699508,0.9881142920875494,0.8993340222093746,0.8853
visa,1,8,DUP_J,capsules,0.4119235836899347,0.9794301533267091,0.9816861699845929,0.967
visa,1,8,DUP_J,cashew,0.6149758892206035,0.9933799277940241,0.9752852656896633,0.9494
visa,1,8,DUP_J,chewinggum,0.7438977706639696,0.9940557469584878,0.9929090803853013,0.9846
visa,1,8,DUP_J,fryum,0.3475202774283046,0.9461256204456261,0.9918398624114815,0.9826
visa,1,8,DUP_J,macaroni1,0.19318113575318457,0.9843500114462135,0.9340026491327278,0.9209
visa,1,8,DUP_J,macaroni2,0.21273821574038096,0.9819008274597717,0.8370929758293305,0.8218
visa,1,8,DUP_J,pcb1,0.7914659306271647,0.9932411431214562,0.8641917680651025,0.8972
visa,1,8,DUP_J,pcb2,0.19050411673164958,0.9717707573404585,0.8451760128380035,0.8902
visa,1,8,DUP_J,pcb3,0.2572752495684138,0.9756845687502409,0.8975252671457152,0.8933663366336634
visa,1,8,DUP_J,pcb4,0.2754095297611608,0.9610260304789646,0.9706344796101495,0.9742574257425742
visa,1,8,DUP_J,pipe_fryum,0.47860634860397755,0.9908874984083746,0.9902621089139578,0.9776
visa,1,8,DUP_BAL_J,candle,0.3167938447609884,0.9886242746361587,0.9115143400020597,0.8996
visa,1,8,DUP_BAL_J,capsules,0.40608282610568536,0.9790816592553461,0.9836452372506517,0.9718333333333333
visa,1,8,DUP_BAL_J,cashew,0.6385359445387728,0.9942853785972754,0.9809211430466536,0.9598
visa,1,8,DUP_BAL_J,chewinggum,0.7123157923307628,0.9940883950939527,0.9937113440848855,0.9864
visa,1,8,DUP_BAL_J,fryum,0.37389245789595604,0.9559566690539452,0.994453803639156,0.9884
visa,1,8,DUP_BAL_J,macaroni1,0.21144280715028194,0.9879048644530649,0.9442210223586704,0.9353
visa,1,8,DUP_BAL_J,macaroni2,0.21978541581682864,0.9804969043384878,0.8336574019549283,0.8161
visa,1,8,DUP_BAL_J,pcb1,0.8124734126420384,0.99366008708962,0.8828757607551936,0.9078
visa,1,8,DUP_BAL_J,pcb2,0.19926294399945066,0.9722832709508125,0.8524867093151672,0.889
visa,1,8,DUP_BAL_J,pcb3,0.2790943971860331,0.9755382174495981,0.8957831397487525,0.8846534653465347
visa,1,8,DUP_BAL_J,pcb4,0.28243801551531333,0.9661638638252241,0.9741814749651327,0.9771287128712871
visa,1,8,DUP_BAL_J,pipe_fryum,0.5039293643629007,0.9919213271409278,0.993286812376206,0.9844
visa,1,8,DUP_EXPECTED_J,candle,0.3376170234699508,0.9881142920875494,0.8993340222093746,0.8853
visa,1,8,DUP_EXPECTED_J,capsules,0.4119235836899347,0.9794301533267091,0.9816861699845929,0.967
visa,1,8,DUP_EXPECTED_J,cashew,0.6149758892206035,0.9933799277940241,0.9752852656896633,0.9494
visa,1,8,DUP_EXPECTED_J,chewinggum,0.7438977706639696,0.9940557469584878,0.9929090803853013,0.9846
visa,1,8,DUP_EXPECTED_J,fryum,0.3475202774283046,0.9461256204456261,0.9918398624114815,0.9826
visa,1,8,DUP_EXPECTED_J,macaroni1,0.19318113575318457,0.9843500114462135,0.9340026491327278,0.9209
visa,1,8,DUP_EXPECTED_J,macaroni2,0.21273821574038096,0.9819008274597717,0.8370929758293305,0.8218
visa,1,8,DUP_EXPECTED_J,pcb1,0.7914659306271647,0.9932411431214562,0.8641917680651025,0.8972
visa,1,8,DUP_EXPECTED_J,pcb2,0.19050411673164958,0.9717707573404585,0.8451760128380035,0.8902
visa,1,8,DUP_EXPECTED_J,pcb3,0.2572752495684138,0.9756845687502409,0.8975252671457152,0.8933663366336634
visa,1,8,DUP_EXPECTED_J,pcb4,0.2754095297611608,0.9610260304789646,0.9706344796101495,0.9742574257425742
