method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
A1_J__perm_C_cross_p05,0.9137728007414566,0.034621618430241995,0.8080245809211996,0.5920060331825038,0.7476410573458896,0.8160000000000001
TRI_J__perm_C_cross_p05,0.923509492002558,0.039952709333016055,0.8171247878271807,0.5678733031674208,0.719429059147304,0.8264462809917354
TRI_J__perm_S_cross_p05,0.9212261095394959,0.03841513824081655,0.8148456047490729,0.5316742081447964,0.7099490391146993,0.8160000000000001
BAL_J__perm_C_cross_p05,0.9257055608151177,0.03710310538820374,0.8189380691473084,0.5716440422322775,0.7222731322600097,0.8160000000000001
BAL_J__perm_S_cross_p05,0.9239140399751355,0.03621506363826639,0.8166213842195347,0.5739064856711916,0.742035190422378,0.8160000000000001
A1_J__perm_C_within_p06,0.9342178781712598,0.03958354385985046,0.867169719384705,0.5995475113122172,0.7310314931525981,0.8264462809917354
TRI_J__perm_C_within_p06,0.941869605938855,0.04493890512934645,0.8675512334503399,0.5829562594268476,0.7451169924740363,0.8360655737704918
TRI_J__perm_S_within_p06,0.9426297019903146,0.04316665654121955,0.8710282869545105,0.5248868778280542,0.6702197725454112,0.8032786885245901
BAL_J__perm_C_within_p06,0.9406441243362094,0.0412629587812549,0.875390480374829,0.6018099547511313,0.7481194479769275,0.8333333333333334
BAL_J__perm_S_within_p06,0.9413524312311249,0.04037125840024445,0.8630356573301579,0.557315233785822,0.6979122247953036,0.8064516129032259
A1_J__perm_C_cross_p06,0.9152274384945522,0.03423601191951915,0.8049008107486361,0.5859728506787331,0.7461534868888061,0.8160000000000001
TRI_J__perm_C_cross_p06,0.9242052195698754,0.03964306808279243,0.813122081166837,0.5580693815987934,0.7033960875020939,0.8225806451612903
TRI_J__perm_S_cross_p06,0.9272256671238961,0.038299883781013365,0.8028215834212138,0.5196078431372549,0.7028427899220778,0.8099173553719008
BAL_J__perm_C_cross_p06,0.9262261062793186,0.03658899343419935,0.814872809613213,0.5520361990950227,0.7166884776096373,0.8160000000000001
BAL_J__perm_S_cross_p06,0.9275992910750059,0.03573140600747783,0.8158521344360827,0.5392156862745098,0.7254632335255519,0.8095238095238095
A1_J__perm_C_within_p07,0.9313901528558367,0.03757764126665349,0.8271225094704755,0.5965309200603318,0.7466346880345653,0.8166666666666667
TRI_J__perm_C_within_p07,0.9374513525772337,0.04231748285505229,0.8413910074797223,0.5882352941176471,0.7325940030531443,0.8160000000000001
TRI_J__perm_S_within_p07,0.9304296512238242,0.04082421062068245,0.8405780812771687,0.38386123680241324,0.6062642544364263,0.796875
BAL_J__perm_C_within_p07,0.93587972212048,0.03940641571161452,0.837672858690675,0.5920060331825038,0.7396634526081461,0.8166666666666667
BAL_J__perm_S_within_p07,0.930849851860782,0.03939806344894108,0.846831101073795,0.42458521870286575,0.6494746097908055,0.796875
A1_J__perm_C_cross_p07,0.912300380722749,0.034240004483281974,0.7998332868700954,0.5965309200603318,0.7392529552232282,0.8160000000000001
TRI_J__perm_C_cross_p07,0.9217060171789384,0.0388864710481896,0.8154244348702775,0.6010558069381599,0.7402491418493955,0.8264462809917354
TRI_J__perm_S_cross_p07,0.9195597375661708,0.03737349135379492,0.8228227667055228,0.5889894419306184,0.7261952102424711,0.8
BAL_J__perm_C_cross_p07,0.9234581070317446,0.03563224122633163,0.8168537916846853,0.6018099547511312,0.7390047701254596,0.8196721311475409
BAL_J__perm_S_cross_p07,0.9210431735525749,0.0345923650790323,0.8241743974075844,0.5874811463046757,0.725045499087393,0.8064516129032259
A1_J__perm_C_within_p08,0.9383534589038496,0.04364977108389105,0.8582184513845798,0.6123680241327301,0.7445791613961718,0.8225806451612903
TRI_J__perm_C_within_p08,0.9434841048680317,0.04786861754878404,0.862440373088416,0.5610859728506787,0.7165075178881929,0.8196721311475409
TRI_J__perm_S_within_p08,0.9508889819202423,0.0625571884017965,0.8657307362813277,0.471342383107089,0.6213688509320457,0.796875
BAL_J__perm_C_within_p08,0.9445662111154118,0.046391497844548935,0.8683638573457919,0.5618401206636501,0.7165916289133869,0.8376068376068376
BAL_J__perm_S_within_p08,0.9486520198070378,0.05562867616006896,0.8676815355859081,0.528657616892911,0.6785182406892973,0.796875
A1_J__perm_C_cross_p08,0.9121352689452423,0.03232638588629412,0.8008438447460718,0.5852187028657617,0.7285060965295763,0.8160000000000001
