method,dataset,seed,shot,category,frame,pixel_ap,pixel_auroc,pixel_ap_stride8,native_map_size,resampled_to_canvas,evaluation_revision,note,source,sample_id_order_identical
PatchCore_native_local128,btad,1,4,02,canvas grid*14 (448x448),0.45940589862123143,0.9448109890143652,0.4592885253642238,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k4\predictions\mvtec_02.npz,False
PatchCore_native_local128,btad,1,4,03,canvas grid*14 (448x588),0.14397818013749175,0.9590315266667631,0.14384795472093312,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k4\predictions\mvtec_03.npz,False
PatchCore_native_official224,mpdd,0,1,bracket_black,canvas grid*14 (448x448),0.002766348989147194,0.8510145297820445,0.0030340521511980825,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,True
PatchCore_native_official224,mpdd,0,1,bracket_brown,canvas grid*14 (448x448),0.03570474358832349,0.9330492454685962,0.03520012946964372,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,True
PatchCore_native_official224,mpdd,0,1,bracket_white,canvas grid*14 (448x448),0.002772344061270606,0.936133100874916,0.0025264389901767156,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,True
PatchCore_native_official224,mpdd,0,1,connector,canvas grid*14 (448x448),0.04160596250656557,0.9262158171594534,0.04144718396268005,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_connector.npz,True
PatchCore_native_official224,mpdd,0,1,metal_plate,canvas grid*14 (448x448),0.65038815914851,0.9494989635841297,0.6497514637889548,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_metal_plate.npz,True
PatchCore_native_official224,mpdd,0,1,tubes,canvas grid*14 (448x448),0.08014698576767587,0.9404235909713456,0.08082804310664463,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_tubes.npz,True
PatchCore_native_official224,mpdd,0,4,bracket_black,canvas grid*14 (448x448),0.007984331711804585,0.9123348809150046,0.008510312860565951,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_black.npz,True
PatchCore_native_official224,mpdd,0,4,bracket_brown,canvas grid*14 (448x448),0.056544775087282534,0.9565716129618537,0.05620961549651604,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_brown.npz,True
PatchCore_native_official224,mpdd,0,4,bracket_white,canvas grid*14 (448x448),0.0044723086479256085,0.9606898184209774,0.0037274034672821507,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_white.npz,True
