dataset,seed,shot,method,category,pixel_ap,pixel_auroc,image_ap,image_auroc
mpdd,0,4,DUP_L,bracket_brown,0.039511601775021644,0.9040937040404362,0.7044629239388718,0.55052790346908
mpdd,0,4,DUP_L,bracket_white,0.09882279125568984,0.9959534090053556,0.7840763100149328,0.8055555555555556
mpdd,0,4,DUP_L,connector,0.37972616780427315,0.9778453276772653,0.8073871276919659,0.9142857142857143
mpdd,0,4,DUP_L,metal_plate,0.8570608734698796,0.9732881648009092,1.0,1.0
mpdd,0,4,DUP_L,tubes,0.7468629889274068,0.9904394581848851,0.9847876383592884,0.9624094202898551
mpdd,0,4,TRI_L,bracket_black,0.17453804113958016,0.9777414444481339,0.8604997079948514,0.7726063829787234
mpdd,0,4,TRI_L,bracket_brown,0.04250927061968249,0.9272890117979565,0.7291641187372001,0.5731523378582202
mpdd,0,4,TRI_L,bracket_white,0.13199372337025184,0.9965435909443294,0.80710645233152,0.8122222222222222
mpdd,0,4,TRI_L,connector,0.3398192897066545,0.977954889194636,0.7919326705040991,0.8928571428571429
mpdd,0,4,TRI_L,metal_plate,0.8905962778342923,0.9812823066742912,1.0,1.0
mpdd,0,4,TRI_L,tubes,0.7269070594588749,0.9900269485038078,0.987671648469253,0.96875
mpdd,0,4,BAL_L,bracket_black,0.17057817381771437,0.9790758998321881,0.856750469414053,0.7712765957446809
mpdd,0,4,BAL_L,bracket_brown,0.04012588542678995,0.9310631036840381,0.7478359417298209,0.5965309200603318
mpdd,0,4,BAL_L,bracket_white,0.10544507251345342,0.9969156997914831,0.8307598653766428,0.8355555555555556
mpdd,0,4,BAL_L,connector,0.34437019595608004,0.9794194708539274,0.790135360671075,0.8928571428571429
mpdd,0,4,BAL_L,metal_plate,0.9109283909530655,0.986385260427163,1.0,1.0
mpdd,0,4,BAL_L,tubes,0.7403666414067438,0.9914109384264305,0.988561889785359,0.970108695652174
mpdd,0,8,B,bracket_black,0.16925580374231974,0.9756231696819233,0.8903485858408028,0.8377659574468085
mpdd,0,8,B,bracket_brown,0.057741530195255984,0.9161083612945018,0.7030293100139245,0.5558069381598794
mpdd,0,8,B,bracket_white,0.1589950272590338,0.9975110739469288,0.9298010062963715,0.9155555555555556
mpdd,0,8,B,connector,0.47713325328216166,0.98296533025653,0.8964118223046794,0.9571428571428572
mpdd,0,8,B,metal_plate,0.8098303872707676,0.9567490089865133,1.0,1.0
mpdd,0,8,B,tubes,0.7539571676610457,0.9898282058510873,0.982916485319048,0.9569746376811594
mpdd,0,8,S,bracket_black,0.13792967899305078,0.9693186794487012,0.8624246788633466,0.7732712765957447
mpdd,0,8,S,bracket_brown,0.054029016088506916,0.9481654793272325,0.697320026181818,0.5641025641025641
mpdd,0,8,S,bracket_white,0.12515590843455887,0.9966015706949324,0.8777317613698407,0.8844444444444445
mpdd,0,8,S,connector,0.42748646332449686,0.9795669391682711,0.9298245614035088,0.9523809523809523
mpdd,0,8,S,metal_plate,0.8776424507880072,0.9758676614447318,1.0,1.0
mpdd,0,8,S,tubes,0.6418672143532073,0.9812514607929769,0.976832365757344,0.9470108695652174
mpdd,0,8,C,bracket_black,0.046580903695162816,0.9621372730324099,0.6886288409091569,0.598404255319149
mpdd,0,8,C,bracket_brown,0.029890054360398394,0.9285548757494743,0.7580155886968499,0.6591251885369532
mpdd,0,8,C,bracket_white,0.05028002282275131,0.9935333416326381,0.7818871020248299,0.8066666666666666
mpdd,0,8,C,connector,0.24125920080005056,0.9768387944303144,0.6976811768137509,0.8333333333333334
mpdd,0,8,C,metal_plate,0.9405090660604513,0.9905431741688872,1.0,1.0
mpdd,0,8,C,tubes,0.5259038448720765,0.9769666396367054,0.9525219034760899,0.8922101449275363
mpdd,0,8,A1_J,bracket_black,0.1810150466308724,0.9759882232207324,0.8744775808305459,0.8058510638297872
mpdd,0,8,A1_J,bracket_brown,0.042374006871337105,0.9257390014647195,0.7289590325971125,0.5995475113122172
mpdd,0,8,A1_J,bracket_white,0.13965451946530943,0.9979635385251954,0.9259156179756249,0.9377777777777778
